date,inflation rate
1/1/60,1.003575703901710
1/1/61,3.447496230466190
1/1/62,4.196498882385510
1/1/63,2.018543559762290
1/1/64,3.281586946972130
1/1/65,4.773774553869140
1/1/66,3.909617792118880
1/1/67,2.482115604748040
1/1/68,4.697427988272450
1/1/69,5.446663630488870
1/1/70,6.366568417274400
1/1/71,9.444837423371361
1/1/72,7.071098394797950
1/1/73,9.196033166578109
1/1/74,16.044011188986200
1/1/75,24.207287674329098
1/1/76,16.559522558808400
1/1/77,15.840266745876701
1/1/78,8.263141038607710
1/1/79,13.421279977401200
1/1/80,17.965924265685700
1/1/81,11.876626514229599
1/1/82,8.598863833321870
1/1/83,4.609303272697780
1/1/84,4.960710978219280
1/1/85,6.071394340151190
1/1/86,3.427609403693140
1/1/87,4.148922320529450
1/1/88,4.155351715831020
1/1/89,5.760249091852620
1/1/90,8.063460909388320
1/1/91,7.461782957469340
1/1/92,4.591549295774600
1/1/93,2.558577969297060
1/1/94,2.219012605042040
1/1/95,2.697495183044320
1/1/96,2.851782363977490
1/1/97,2.201143135108820
1/1/98,1.820561637315560
1/1/99,1.752950800514200
1/1/00,1.182956242104090
1/1/01,1.532349602724180
1/1/02,1.520402459474550
1/1/03,1.376500385420130
1/1/04,1.390397566804220
1/1/05,2.089136490250700
1/1/06,2.455661664392910
1/1/07,2.386561507733270
1/1/08,3.521408563425380
1/1/09,1.961731735601100
1/1/10,2.492654724670660
1/1/11,3.856112446828190
1/1/12,2.573234796545260
1/1/13,2.291666666666670
1/1/14,1.451120162932790
1/1/15,0.368046842
1/1/16,1.008417368114030
1/1/17,2.557755775577530
1/1/18,2.292839903459370
1/1/19,1.738104600865150
1/1/20,0.989486704
1/1/21,2.518371096142100
1/1/22,7.922048831479070
1/1/23,6.793967067939640
1/1/24,3.271572946359210